"字段1","字段4","字段5"
"33-eR","10","闲来无事可以看一下，突破是真的有，演技确实在线。追到现在唯一喜欢的就是前两集了，包括剪辑、叙事和节奏。如一句话所说，人们围绕一眼泉水欢呼，可能并不是因为它有多甘甜，而是因为它来自荒漠。"
"十三月","29","8.7的豆瓣评分，如果不是水军刷的，就是反腐剧一禁多年大家的饥饿感造就的。正面人物高大上，台词硬邦邦；画面切换凌乱不堪，同时进行的几场人物对话毫无道理的生硬穿插，足见导演功力之差。"
"林翛然","17","被侯勇骗进来 台词假大空 旁白恶心 镜头肆意切换 尤其上一代鲜肉某主演居然跻身演技派 令人发指！"
"蚂蚁一只","26","导演兼制片人，注水注的欢……"
"马文才","27","看名字打分"
"东林君","7","只要讲真问题，随便搞。在中国搞文化，就是比尺度，到最后谁能搞得过纪委、公安部？白银、湄公河都是。电视剧就是给文字（剧情）配上画面。演技5分，镜头2分，剧本6分。中国的FBI、严刑酷吏时代到了。"
"无所畏惧梦小迪","19","画外音一出，我以为我在看cctv12的普法情景剧"
"果粒少","49","追了五晚  一集的内容摊成六集 那五集是用来给自己洗白白"
"吉小吉","64","人民的名义，一语双关，贪官清官都如是说。想起大明王朝1566最后海瑞和嘉靖的那段对话，长江清养民，黄河浊亦养民，不可俱废，可历史总是会记住是非，人心在时间的长河里也是相向而行。反贪，反的是破坏生存平衡的人。头两集开了好头，剧组智商在线，侯勇演技炸裂，持续关注，四星起评浮动。"
"darkerthanwhite","58","感觉陆毅演得那个角色还挺神的~但我估摸着这个和北平无战事差不多又是一堆反派老演员出彩的戏吧！"
"奈斯Biu","18","为点钞手法点赞，好怀念"
"孤独的根号三","11","一堆戏骨里的陆毅有点扎眼；剧情虽说略魔幻、人物牛得跟神仙似得，但很大一部分还是能体现现实生活的，良心剧。"
"谷城","11","看了一集，侯勇演的好，写的还是很套路的但细节还是挺多的，顶着压力写成这样实属不易。"
"Hello 悟 空","22","越看越觉得是烂片"
"Lisseta","21","陆毅柯蓝两大败笔"
"岁羽中","44","看了一小会儿，同样愚蠢的台词，陆毅念出来就非常符合台词本身的水平，张丰毅念出来就没毛病，看来还是陆毅更理解本剧意图：请拍得更脑残一些！"
"雪枫","20","主旋律应景反腐剧而已，还看出高潮了。"
"昆提良","17","港真，题材五星，导演拍摄手法太过老套，戏和戏的之间的逻辑处理像一根直肠子。侯勇并没觉得老戏骨反而有种正义的做作，大而空的台词和标签式的人物形象像泡面一样快速交代要说教的道理。陆毅的角色太过革命小兵少了地气。这个剧有种迷之土土的“简装大陆剧”感，这很中国。"
"游叶2046","52","全中国最会演戏的男演员都来了，终于有剧可以为检察院正名，他们不是检查卫生的了。"
"现代范蠡","69","剧本紧凑，实力派挺多的，最主要的是尺度蛮大"
"Anastasia","6","超级好看啊，五颗星，全是老戏骨啊"
"惡萌島主","11","看了两集，记住了假大空的官腔、堆成墙的钞票、吃不完的杂酱面，还有检察长和反贪局长去省委汇报时车外的茫茫雾霾……"
"jqykly","22","看到第14集，剧情也来越拖，让人越看越有些失望。再这样下去，3星都保不住了。"
"徐李夫人","15","侯勇演技炸裂！！！看老戏骨们飙戏好爽 陆毅相形见绌"
"理想蔚藍","21","正面人物太平面，太脸谱化，不深刻。有好多法律上，剧情上的硬伤，除了有一些突破以外，没有可取之处。感觉很老套的，像上个世纪的电视剧。"
"易小川","78","很不错，国内少见的格局比较大的反贪题材影视作品，节奏紧凑，演员演技也靠的住，就目前播出的集数来说可以说是精品剧了"
"徐若风","1","十集弃。"
"散弹露露","25","官场的人讲话真是又有意思又让人作呕啊"
"Karofsky","20","敢拍就是满分"
"blueswolf","14","这部水准一般的剧究竟请了多少水军？陆毅等一些演员的表演，及格都有困难。竟然有人说是中国版的《纸牌屋》，简直搞笑。如果非要说有什么看点，剧情尚可，且对政治内幕的描写比较大胆，3星，不能再高了。"
"噗呲噗呲好多鱼","16","戏骨&熟脸集结的一部主旋律，陆毅相较还是弱不少，后续待看。"
"snowflake","11","情节紧凑，虽然经过美化，但也反映了现今的官场和社会现实。"
"许桉","11","所有人都查了，为啥不查侯亮平。从他一出场我就觉得该查他，一脸肉欲。"
"papazao","19","我没看，单纯想打一星。"
"Jody.L 李九弟","23","我被侯勇的演技吓着了...被鲜肉荼毒过深，一不小心看到侯老师的，整个人都跟打了一闷棍般震惊——原来戏应该这么演啊！之后有点高开低走，感觉戏剧张力没有头两集那么有力。剪辑真的不行，每次都是看到高潮，突然切另外一件事，双事并行没有发挥应有效果。"
"外噻","12","好多剧情可以砍掉，而且剧情剪辑的有点混乱"
"离非","22","虽然我没看，但是我非常希望这个题材能火起来。一是正风气，二是大家都去拍反腐剧了，就没人再去拍三生三世十里桃花，锦绣未央，花千骨这样的抄袭剧了，后面这条是主要原因，偷来的小说被人追捧，原作者被讽刺，和这个反腐剧一对比真是令人寒心"
"长平桓桓","21","为了正午的恶意水军，我要打5星"
"kingmonkey","14","四星电视剧，国产不易多给一星。这个电视剧太拖了，除了几个老戏骨飙戏，剩下的都删了好吗"
"Natasha","34","呵呵"
"犹在镜中","25","新时期的样板戏，所谓惊人尺度，无非就是开会扯皮满嘴官话，再来些大场面，中心思想是“几粒老鼠屎坏了这锅好粥”。开场的北京延时摄影，打光，走位，青年演员的台词，还有漏洞百出的剧情，徒剩尴尬。待到某天能把整个体制的诡谲风云都丝毫不减地展示出来，再标榜In the Name of People也不迟。"
"重生之阿糯。","20","达康书记的gdp由我来守护！缺点是拖戏，那个黄毛林华华是干嘛的"
"李小奥","25","虎头蛇尾…完全没必要拍到五十多集，爱哭的毛毛虫������和小皮球的戏太多了，完全可以不要（我也想象不出他会搞什么大新闻）…主线故事就在被这些戏遮盖了…明显节奏放缓，拖得人果断弃剧…"
"琵琶鱼","11","一部正剧拍成这样也算不错了，中国的观众就是容易知足。节奏仍然是个大问题啊。"
"水湄物语","10","托妹妹发高烧的福，被带背着看到第10集。还算是不错的，至少能够表现腐败是复杂的问题，不仅仅是“品格不好”。是政治斗争的结果，是单纯追求经济利益的结果，是“不能跟别人不一样”的社会压力"
"Jay你听得到","21","尺度算大了。。。公安局人终于可以是坏人了"
"宇小敏","30","所以说，屎吃多了，随便给点残羹冷炙凉饭馊菜的，就觉得像过年是不是？两星给前两集。"
"菜小七","17","人物脸谱化得不行，剧情恨不得每一个细节都要说教（侯勇那个小贪官角色能贪2亿，连出逃美国的假护照都能搞到的大贪官丁义珍，却在美国穷得只能住小旅馆？）台词本身就书面得纪委报告似的，演员念台词跟朗诵纪委报告似的，没看出老戏骨飙戏飙在哪儿了。"
"无人之镜","24","林华华、郑胜利、张宝宝，这些人的浮夸演技和尴尬戏份存在的意义就是让人想快进！老戏骨们的表演真的很精彩，李达康、高育良、郑西坡、蔡成功都很好，最好的是侯勇，对手戏真的秒得陆毅渣都不剩。陆毅这样一张偶像脸和平淡的演技在这部戏里确实有些格格不入。"
"小二","6","官场现形记的话是对这剧的过度赞誉，只能说这些连皮毛都算不上。正反派都表现的很夸张。但国产现代剧有脑子的不多，及格分鼓励一下。看了豆瓣评论区，突然理解了为何不采用民主制了……真心不能用……要用也得在全民的政治逻辑达到能理解现状的水平才行。"
"V字背心","33","从弹幕上看，陆毅演技还差那么一截，关掉弹幕就会好很多了"
"充耳","29","注水严重，改星。看了5集。以前宫斗，几个妃嫔就可以斗得天翻地覆，现在官斗，轮到手握权柄的爷们相爱相杀腹黑倾轧，是不比纸牌屋差太多。挣脱束缚，包括但不限于资本的，国产剧还是挺好看的。讽刺有两点，一是使劲挖掘反派人性，拼命拔高正派党性；一是观众自我阉割，评论弹幕多有关于内容尺度的惊叹"
"月人土土","12","还没看，但是绝对要高分"
"张小璐","39","1.剧内的台词和人物都是基于现实和事实。这个点1星。2.这剧没有什么拍摄手法可言，老一套套路。3.你们这些打高分的人，一方面说这剧拍得好啊，但是这剧是为什么过审，怎么过审的，你们没有思考过。4.在真实的世界里不敢发声，却为这剧而上下点评，针砭时政。5.政治就在你身边，强奸你每一天。"
"37°2","6","一众老戏骨都在吊打61的演技……侯勇老师的演技简直360°炸裂！期待吴刚老师飚戏！可惜剧本手法都比较传统，胜在题材的突破。"
"PPZZ","5","好剧"
"粉红玛丽","23","我在豆瓣的评论居然被删了，微笑"
"金大王嘟嘟嘟略","18","虽然台词雷人，但算良心剧"
"Cross、Z","42","意料之中+意见之外地好看到爆炸啊～！就想看下一集，跟当时看余罪似的，根本停不下来～～～。好评～，拍得真实，拍得用心！PS.不知道过几天刷低分的水军还来不来了，呵呵哒～"
"海棠","9","书记一心奔业绩，老婆背着书记捞钱，老婆的商人朋友供孩子在国外读书，公安局长对书记说你老婆真有问题。。。看到这里惊呆了，就差一巴掌呼进美领馆了"
"Sylvan_L","27","能看得下去？"
"姚姬旦","5","反贪能拍出来，是一个进步，但剧的思想还差的远。选举不民主，监察不独立，千百年来中国百姓的最高梦想就是，指望幸运的遇到个青天大老爷，能坐稳奴才。"
"奈德来福","16","营造了一种爆裂的正能量氛围！"
"arthuria","5","很真实(当官的全沾亲带故官二代)也很假(好官比例太高,主旋律的太明显),不过的确需要多些这种正面宣传。最后呵呵影片同时也深刻揭露了解决问题还是要靠关系和权利这个真理,屁民睡觉去了。。。"
